16228,0.01
16229,150000.00
16230,0.01
16231,120000.00
16232,0.01
16233,130000.00
16234,0.01
16236,47000.00
16237,0.01
16238,52000.00
16239,0.01
16240,55000.00
16241,0.01
17164,1000.00
17165,109000.00
17166,109000.00
17167,500.00
17168,1000.00
17170,4000.00
17171,4000.00
17172,100.00
17173,100.00
17174,4000.00
17175,4000.00
17176,4000.00
17177,4000.00
17178,4000.00
17179,100000000.00
17180,4000.00
17181,4000.00
17182,4000.00
12223,1000.00
12224,0.01
12225,5.00
12226,0.01
12235,8000.00
12236,8000.00
12237,8000.00
12238,4000.00
12239,4000.00
12240,1150.00
12241,0.01
12242,1.00
12243,3.00
12244,101000.00
12245,21120.00
12246,28100.00
19430,0.01
19449,5.00
19450,0.01
19459,5.00
19460,0.01
19461,0.50
19462,0.50
19463,0.50
19466,5.00
19467,0.01
19468,5.00
19469,0.01
19470,6000.00
19483,5.00
19487,100000000.00
19489,10.00
19491,5.00
19493,2.00
19500,1.00
19501,100000000.00
19502,100000000.00
19504,100000000.00
19505,1150.00
19514,20400.00
18027,1000.00
18028,1000.00
18029,6.00
18031,1000.00
18032,1000.00
18033,1000.00
18034,1000.00
18035,1000.00
18036,30.00
18037,0.01
18038,30.00
18039,0.01
18584,101000.00
18585,0.10
18586,4000.00
18587,4000.00
18588,0.13
18589,0.01
18590,50.00
18591,0.01
18592,50.00
18593,0.01
18594,50.00
18595,0.01
23607,100000000.00
23608,5000.00
23609,112000.00
23610,1.00
23612,26500.00
23613,116000.00
23614,115000.00
23615,0.00
23616,1010000.00
23617,100000000.00
23618,0.01
23619,26500.00
23647,101000.00
23648,101000.00
23649,101000.00
23650,101000.00
23651,100100.00
23652,100100.00
23653,100100.00
23654,100100.00
23655,112000.00
23656,112000.00
23657,112000.00
23691,100000000.00
23692,0.10
23693,18500000.00
23694,0.01
23695,100000000.00
23696,100000000.00
23697,28700.00
23698,24398.00
23699,2.00
23700,0.10
23701,260000.00
23702,10.00
23703,0.01
23705,10.00
23706,0.01
23707,5.00
23708,0.01
23709,10.00
23710,0.01
23711,5.00
23712,0.01
23713,10.00
23714,0.01
23715,5.00
23716,0.01
23717,10.00
23736,0.00
23737,0.10
23738,0.50
23739,2.00
23740,2.00
23741,100000000.00
23742,100000000.00
23743,100000000.00
23744,1.00
23745,0.10
23746,85000.00
23747,1000.00
23748,0.10
23749,0.10
23752,0.00
23753,0.00
23754,0.00
23755,0.00
23795,5.00
23796,0.01
23797,10.00
23798,0.01
23799,50.00
23800,0.01
23801,5.00
23802,0.01
23803,10.00
23804,0.01
23805,15.00
23806,0.01
23807,5.00
23808,0.01
23809,10.00
23810,0.01
23811,20.00
23812,0.01
23813,5.00
23814,0.01
23815,5.00
23875,118000.00
23876,50.00
23877,50.00
23878,1.00
23879,1150000.00
23880,0.10
23881,85000.00
23882,50.00
23883,50.00
23831,260000.00
23832,118000.00
23833,100000000.00
23834,5.00
23835,0.01
23836,5.00
23837,0.01
23838,5.00
23839,0.01
23840,10.00
23841,0.01
23842,10.00
23843,0.01
23844,10.00
23845,0.01
23846,20.00
23847,0.01
23848,20.00
23849,0.01
23850,20.00
23851,0.01
0,0.00
2,0.00
3,1.00
4,1.00
5,1.00
6,1.00
7,1.00
8,1.00
9,1.00
10,1.00
